behavioral_regime_id,distribution_shift_category,existing_rule_target,failure_reason,matched_set_id,policy_name,round,seed,selected_target,selected_target_role,top_two_predicted_value_margin
baseline_speech_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_baseline_speech_enabled,frozen_hybrid_50_50,4,102,10,hunter,0.029195486738081144
baseline_speech_enabled,strong_shift,6,strong_distribution_shift,seed_102_base_1_regime_baseline_speech_enabled,frozen_ml_epsilon_010,3,102,2,villager,0.006782869766248867
baseline_speech_enabled,strong_shift,6,strong_distribution_shift,seed_102_base_1_regime_baseline_speech_enabled,frozen_ml_epsilon_010,4,102,8,villager,0.0419696041114932
speech_disabled,strong_shift,5,strong_distribution_shift,seed_102_base_1_regime_speech_disabled,frozen_ml,3,102,9,hunter,0.003539069717304222
speech_disabled,strong_shift,5,strong_distribution_shift,seed_102_base_1_regime_speech_disabled,frozen_hybrid_50_50,2,102,9,hunter,0.02372864626871596
speech_disabled,strong_shift,5,strong_distribution_shift,seed_102_base_1_regime_speech_disabled,frozen_ml_epsilon_010,3,102,7,villager,0.0024550914695913306
herding_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_herding_enabled,frozen_ml,2,102,4,seer,0.006164652745390575
herding_enabled,strong_shift,2,strong_distribution_shift,seed_102_base_1_regime_herding_enabled,frozen_ml,3,102,5,villager,0.014081685528578025
herding_enabled,strong_shift,9,strong_distribution_shift,seed_102_base_1_regime_herding_enabled,frozen_ml,4,102,9,villager,0.0020431788244403837
herding_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_herding_enabled,frozen_hybrid_50_50,2,102,9,villager,0.006164652745390575
herding_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_herding_enabled,frozen_hybrid_50_50,3,102,7,witch,0.01569795821844855
herding_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_herding_enabled,frozen_hybrid_50_50,4,102,4,seer,0.023335771517278392
herding_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_herding_enabled,frozen_ml_epsilon_010,2,102,4,seer,0.006164652745390575
herding_enabled,strong_shift,2,strong_distribution_shift,seed_102_base_1_regime_herding_enabled,frozen_ml_epsilon_010,3,102,5,villager,0.014081685528578025
herding_enabled,strong_shift,9,strong_distribution_shift,seed_102_base_1_regime_herding_enabled,frozen_ml_epsilon_010,4,102,9,villager,0.0020431788244403837
deception_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_deception_enabled,frozen_ml,2,102,1,villager,0.010087152177815306
deception_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_deception_enabled,frozen_ml,3,102,10,villager,0.00962242033785321
deception_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_deception_enabled,frozen_hybrid_50_50,2,102,3,villager,0.010087152177815306
deception_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_deception_enabled,frozen_hybrid_50_50,3,102,8,villager,0.005933882970683091
deception_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_deception_enabled,frozen_hybrid_50_50,4,102,10,villager,0.019059356505550573
deception_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_deception_enabled,frozen_ml_epsilon_010,2,102,1,villager,0.010087152177815306
deception_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_deception_enabled,frozen_ml_epsilon_010,3,102,10,villager,0.00962242033785321
heterogeneous_risk_preference,strong_shift,3,strong_distribution_shift,seed_102_base_1_regime_heterogeneous_risk_preference,frozen_ml,2,102,5,villager,0.003987073890482584
heterogeneous_risk_preference,strong_shift,3,strong_distribution_shift,seed_102_base_1_regime_heterogeneous_risk_preference,frozen_hybrid_50_50,2,102,3,witch,0.003987073890482584
heterogeneous_risk_preference,strong_shift,3,strong_distribution_shift,seed_102_base_1_regime_heterogeneous_risk_preference,frozen_ml_epsilon_010,2,102,5,villager,0.003987073890482584
strong_village_information,strong_shift,2,strong_distribution_shift,seed_102_base_1_regime_strong_village_information,frozen_ml,3,102,8,witch,0.021522509910466447
strong_village_information,strong_shift,2,strong_distribution_shift,seed_102_base_1_regime_strong_village_information,frozen_ml,4,102,10,villager,0.001316483964206916
strong_village_information,strong_shift,2,strong_distribution_shift,seed_102_base_1_regime_strong_village_information,frozen_hybrid_50_50,2,102,3,villager,0.010551531620314858
strong_village_information,strong_shift,2,strong_distribution_shift,seed_102_base_1_regime_strong_village_information,frozen_hybrid_50_50,3,102,9,hunter,0.003250331071103063
strong_village_information,strong_shift,2,strong_distribution_shift,seed_102_base_1_regime_strong_village_information,frozen_ml_epsilon_010,3,102,8,witch,0.021522509910466447
strong_village_information,strong_shift,2,strong_distribution_shift,seed_102_base_1_regime_strong_village_information,frozen_ml_epsilon_010,4,102,10,villager,0.001316483964206916
